127.0.0.1 - - [16/Aug/2017:17:47:45 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:46 +0800] "GET /fs.tlms/core/jslib/ht/ht.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:46 +0800] "GET /fs.tlms/core/jslib/imind/imind.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:46 +0800] "GET /fs.tlms/core/jslib/ht/ht-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:46 +0800] "GET /fs.tlms/dwr/util.js HTTP/1.1" 200 46148
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:46 +0800] "GET /fs.tlms/dwr/engine.js HTTP/1.1" 200 47302
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:46 +0800] "GET /fs.tlms/core/frame/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:47 +0800] "GET /fs.tlms/FsTlmsFrameAction/getMenu.do? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:47 +0800] "GET /fs.tlms/core/frame/themes/fs.tlms/images/logo.png?988.9950000000001 HTTP/1.1" 200 194969
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:47 +0800] "GET /fs.tlms/dwr/interface/AuthorityDwrAction.js HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:47 +0800] "POST /fs.tlms/dwr/call/plaincall/AuthorityDwrAction.getFuncAuth.dwr HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:47 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/panel/tool-sprites.gif HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:47 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/button/btn.gif HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:52 +0800] "GET /fs.tlms/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:52 +0800] "GET /fs.tlms/dwr/engine.js HTTP/1.1" 200 47302
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:52 +0800] "GET /fs.tlms/FrameAction/index.do?_version=1502876932357 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:52 +0800] "GET /fs.tlms/core/frame/themes/fs.tlms/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:52 +0800] "GET /fs.tlms/core/frame/themes/fs.tlms/images/lock.png?138.17000000000002 HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:52 +0800] "GET /fs.tlms/core/frame/themes/fs.tlms/images/account.png?138.015 HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:52 +0800] "GET /fs.tlms/core/frame/themes/fs.tlms/images/verification_code.png?138.21 HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:52 +0800] "GET /fs.tlms/core/frame/themes/fs.tlms/images/browse.png?138.25500000000002 HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:52 +0800] "GET /fs.tlms/core/frame/themes/fs.tlms/images/browse_fill.png?138.275 HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:48:52 +0800] "GET /fs.tlms/core/frame/themes/fs.tlms/images/login/login_bg.jpg?137.805 HTTP/1.1" 200 228356
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "POST /fs.tlms/FsTlmsLoginAction/login.do?t=1502876942270 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "GET /fs.tlms HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "GET /fs.tlms/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "GET /fs.tlms/dwr/engine.js HTTP/1.1" 200 47302
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "GET /fs.tlms/FrameAction/index.do?_version=1502876943132 HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "GET /fs.tlms/dwr/interface/AuthorityDwrAction.js HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "GET /fs.tlms/core/frame/themes/fs.tlms/images/logo.png?408.91 HTTP/1.1" 200 194969
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "POST /fs.tlms/dwr/call/plaincall/AuthorityDwrAction.getFuncAuth.dwr HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "GET /fs.tlms/FsTlmsFrameAction/getMenu.do? HTTP/1.1" 200 27716
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "GET /fs.tlms/modules/home/home.jsp?_version=1502876943692 HTTP/1.1" 200 5695
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:03 +0800] "GET /fs.tlms/dwr/interface/AuthorityDwrAction.js HTTP/1.1" 200 758
